market_id,time,t_ms,best_bid,best_ask,midpoint,spread,bid_depth,ask_depth,bid_levels,ask_levels
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:12:58Z,1780697578219,,,,,0.00,0.00,0,0
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:15:33Z,1780697733366,,,,,0.00,0.00,0,0
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:20:13Z,1780698013725,,,,,0.00,0.00,0,0
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:26:05Z,1780698365835,,,,,0.00,0.00,0,0
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:30:24Z,1780698624146,,0.9900,,,0.00,3000.00,0,1
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:35:05Z,1780698905831,0.0100,0.9800,0.4950,0.9700,50.21,3317.54,1,2
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:40:22Z,1780699222954,0.0100,0.9800,0.4950,0.9700,50.21,3311.03,1,2
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:45:19Z,1780699519915,0.0100,0.8800,0.4450,0.8700,47.69,3319.11,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:50:20Z,1780699820145,0.0100,0.8900,0.4500,0.8800,47.69,3328.40,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T22:55:22Z,1780700122097,0.0100,0.9800,0.4950,0.9700,47.69,3185.17,1,2
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:00:23Z,1780700423351,0.0100,0.8500,0.4300,0.8400,45.18,3306.83,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:05:27Z,1780700727723,0.0100,0.8800,0.4450,0.8700,45.18,3295.73,1,5
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:10:28Z,1780701028637,0.0100,0.9000,0.4550,0.8900,42.67,3177.73,1,5
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:15:19Z,1780701319011,0.0100,0.8200,0.4150,0.8100,42.67,3312.07,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:20:32Z,1780701632908,0.0100,0.8500,0.4300,0.8400,42.67,3288.64,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:25:35Z,1780701935425,0.0100,0.8300,0.4200,0.8200,40.16,3288.09,1,4
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:30:08Z,1780702208683,0.0100,0.9700,0.4900,0.9600,40.16,3322.74,1,3
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:35:37Z,1780702537726,0.0100,0.8700,0.4400,0.8600,40.16,3293.61,1,7
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:40:38Z,1780702838443,0.0100,0.8400,0.4250,0.8300,40.16,3300.33,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:45:39Z,1780703139024,0.0100,0.9300,0.4700,0.9200,40.16,3323.42,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:50:39Z,1780703439335,0.0100,0.8700,0.4400,0.8600,40.16,3299.96,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-05T23:55:40Z,1780703740289,0.0100,0.8200,0.4150,0.8100,40.16,3432.79,1,8
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:00:35Z,1780704035311,0.0100,0.8200,0.4150,0.8100,40.16,3441.20,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:05:20Z,1780704320621,0.0100,0.8200,0.4150,0.8100,40.16,3441.20,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:11:32Z,1780704692605,0.0100,0.8200,0.4150,0.8100,37.65,3440.47,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:16:12Z,1780704972329,0.0100,0.8200,0.4150,0.8100,37.65,3397.43,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:21:21Z,1780705281990,0.0100,0.8200,0.4150,0.8100,37.65,3397.43,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:25:41Z,1780705541849,0.0100,0.8200,0.4150,0.8100,37.65,3397.43,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:30:57Z,1780705857537,0.0100,0.8200,0.4150,0.8100,37.65,3397.43,1,6
560dd428-6d8c-5abf-955a-a0342bfb90a4,2026-06-06T00:36:31Z,1780706191204,0.0100,0.8200,0.4150,0.8100,37.65,3393.50,1,6
