market_id,time,t_ms,best_bid,best_ask,midpoint,spread,bid_depth,ask_depth,bid_levels,ask_levels
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:07:10Z,1783994830118,0.0010,0.0400,0.0205,0.0390,115.00,1816.31,1,16
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:10:57Z,1783995057629,0.0100,0.0400,0.0250,0.0300,180.00,3926.11,2,21
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:15:25Z,1783995325416,0.0020,0.0400,0.0210,0.0380,255.00,4071.11,2,22
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:20:11Z,1783995611881,0.0020,0.0390,0.0205,0.0370,255.00,6209.11,2,24
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:25:18Z,1783995918754,0.0020,0.0390,0.0205,0.0370,255.00,6599.11,2,28
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:30:24Z,1783996224549,0.0020,0.0370,0.0195,0.0350,122.01,6439.11,2,30
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:35:29Z,1783996529219,0.0020,0.0360,0.0190,0.0340,117.01,10430.11,2,31
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:40:47Z,1783996847476,0.0110,0.0390,0.0250,0.0280,132.91,10439.11,4,31
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:46:00Z,1783997160006,0.0020,0.0040,0.0030,0.0020,128.01,11697.93,2,33
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:50:05Z,1783997405275,0.0020,0.0040,0.0030,0.0020,128.01,11725.21,2,39
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T02:55:06Z,1783997706911,0.0020,0.0040,0.0030,0.0020,128.01,12625.38,2,41
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T03:00:21Z,1783998021314,0.0020,0.0040,0.0030,0.0020,128.01,12678.38,2,44
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T03:05:15Z,1783998315656,0.0020,0.0040,0.0030,0.0020,128.01,12677.89,2,44
01a77489-79e6-55b6-95f0-a47778dd0bcf,2026-07-14T03:10:46Z,1783998646181,0.0020,0.0040,0.0030,0.0020,126.35,12637.89,2,41
